ID,Area,AreaReal,Perimeter,BoundingBox_1,BoundingBox_2,BoundingBox_3,BoundingBox_4,BoundingBoxArea,BoundingBoxAreaReal,Diameter,DiameterReal,Centroid_1,Centroid_2
6,31,0.00177000139011243,36,294,2,305,4,22,0.00125613001878947,11.1803398874989,0.0844813729734881,299.5,3
7,62,0.00354000278022486,68,355,2,377,4,44,0.00251226003757893,22.0907220343745,0.166922879466872,366,3
29,34,0.00194129184722009,50,287,21,292,31,50,0.00285484095179424,10.770329614269,0.0813832354245188,289.5,26
34,42,0.00239806639950716,48,382,26,394,31,60,0.00342580914215309,12.1655250605964,0.0919256722429102,388,28.5
54,34,0.00194129184722009,56,273,32,283,37,50,0.00285484095179424,10.1980390271856,0.0770588682744045,278,34.5
65,47,0.00268355049468659,62,196,35,202,48,78,0.00445355188479902,13.6014705087354,0.102776026006256,199,41.5
83,100,0.00570968190358849,144,374,37,394,50,260,0.0148451729493301,20.6155281280883,0.155775954788443,384,43.5
88,89,0.00508161689419375,90,636,44,646,62,180,0.0102774274264593,18.4390889145858,0.139330249666757,641,53
91,35,0.00199838866625597,42,746,45,750,55,40,0.00228387276143539,10.4403065089106,0.0788895004098229,748,50
102,40,0.00228387276143539,58,698,49,708,55,60,0.00342580914215309,10.295630140987,0.0777962905144185,703,52
113,41,0.00234096958047128,76,366,52,373,62,70,0.00399677733251194,10.770329614269,0.0813832354245188,369.5,57
117,33,0.0018841950281842,50,72,54,79,63,63,0.00359709959926075,10,0.0755624371204932,75.5,58.5
127,124,0.00708000556044972,118,703,58,716,75,221,0.0126183970069306,19.723082923316,0.149032421321534,709.5,66.5
136,73,0.0041680677896196,88,666,50,675,67,153,0.00873581331249038,18.0277563773199,0.136222120768481,670.5,58.5
157,32,0.00182709820914832,48,424,67,431,76,63,0.00359709959926075,10.816653826392,0.0817332724610885,427.5,71.5
162,87,0.00496742325612198,76,247,69,260,81,156,0.00890710376959804,17.6918060129541,0.133683597940181,253.5,75
170,82,0.00468193916094256,100,395,70,403,89,152,0.0086787164934545,19.9248588451713,0.150557089362296,399,79.5
174,35,0.00199838866625597,66,117,67,126,76,81,0.00462484234190667,12.0415945787923,0.0909892233190465,121.5,71.5
192,72,0.00411097097058371,82,672,74,680,89,120,0.00685161828430618,16.1245154965971,0.121840768831004,676,81.5
197,138,0.00787936102695211,156,484,66,495,93,297,0.0169577552536578,27.6586333718787,0.208995374500136,489.5,79.5
210,61,0.00348290596118898,82,610,65,617,82,119,0.0067945214652703,18.3847763108502,0.138919850396295,613.5,73.5
225,93,0.00531000417033729,94,262,80,270,97,136,0.00776516738888034,17.2626765016321,0.130440990768599,266,88.5
227,40,0.00228387276143539,64,291,78,299,87,72,0.00411097097058371,11.3137084989848,0.0854891387054125,295,82.5
239,60,0.00342580914215309,80,312,82,327,92,150,0.00856452285538273,17.4928556845359,0.132180280772061,319.5,87
255,46,0.0026264536756507,56,167,87,174,96,63,0.00359709959926075,10.295630140987,0.0777962905144185,170.5,91.5
257,299,0.0170719488917296,308,442,71,467,96,625,0.035685511897428,30.6104557300279,0.231300063632988,454.5,83.5
261,110,0.00628065009394734,114,648,87,659,103,176,0.0100490401503157,16.7630546142402,0.126665726023592,653.5,95
271,86,0.0049103264370861,102,474,85,486,100,180,0.0102774274264593,18.0277563773199,0.136222120768481,480,92.5
274,90,0.00513871371322964,112,307,91,325,101,180,0.0102774274264593,18.4390889145858,0.139330249666757,316,96
282,62,0.00354000278022486,116,626,83,642,96,208,0.0118761383594641,19.8494332412792,0.149987155117159,634,89.5
290,97,0.00553839144648083,96,663,89,674,107,198,0.0113051701691052,19.723082923316,0.149032421321534,668.5,98
312,119,0.0067945214652703,130,218,83,236,102,342,0.0195271121102726,24.2074368738204,0.182917292662636,227,92.5
318,57,0.00325451868504544,84,617,100,623,116,96,0.00548129462744495,16.1245154965971,0.121840768831004,620,108
320,163,0.00930678150284923,152,177,101,191,122,294,0.0167864647965501,21.4009345590327,0.16171067719367,184,111.5
322,64,0.00365419641829663,100,252,101,265,111,130,0.00742258647466503,14.8660687473185,0.112331638494818,258.5,106
343,34,0.00194129184722009,44,412,102,416,112,40,0.00228387276143539,10,0.0755624371204932,414,107
350,36,0.00205548548529186,60,393,106,402,115,81,0.00462484234190667,12.7279220613579,0.0961752810435891,397.5,110.5
353,43,0.00245516321854305,80,738,99,745,111,84,0.00479613279901433,13,0.0982311682566411,741.5,105
360,48,0.00274064731372247,92,108,109,115,125,112,0.0063948437320191,16.2788205960997,0.123006735768857,111.5,117
382,54,0.00308322822793778,68,46,114,53,129,105,0.00599516599876791,15.1327459504216,0.114346716433913,49.5,121.5
400,159,0.00907839422670569,204,599,99,617,125,468,0.0267213113087941,27.5136329843952,0.207899716233969,608,112
409,62,0.00354000278022486,110,589,119,598,135,144,0.00822194194116742,16.1245154965971,0.121840768831004,593.5,127
410,45,0.00256935685661482,78,619,115,629,126,110,0.00628065009394734,14.2126704035519,0.107394401368268,624,120.5
412,46,0.0026264536756507,64,508,119,515,129,70,0.00399677733251194,11.1803398874989,0.0844813729734881,511.5,124
425,45,0.00256935685661482,60,251,119,257,129,60,0.00342580914215309,10.770329614269,0.0813832354245188,254,124
427,44,0.00251226003757893,62,685,122,694,132,90,0.00513871371322964,10.6301458127346,0.0803239724556436,689.5,127
436,62,0.00354000278022486,84,696,116,705,134,162,0.00924968468381335,20.1246117974981,0.152066471352279,700.5,125
439,115,0.00656613418912676,102,182,124,195,140,208,0.0118761383594641,19.1049731745428,0.14436183341901,188.5,132
447,86,0.0049103264370861,82,81,125,90,138,117,0.00668032782719853,13.6014705087354,0.102776026006256,85.5,131.5
451,108,0.00616645645587557,122,424,125,434,143,180,0.0102774274264593,18.4390889145858,0.139330249666757,429,134
469,32,0.00182709820914832,40,663,127,669,134,42,0.00239806639950716,7.61577310586391,0.0575466376435785,666,130.5
478,41,0.00234096958047128,66,798,128,805,140,84,0.00479613279901433,13.4164078649987,0.101377647568186,801.5,134
488,71,0.00405387415154783,84,667,129,677,143,140,0.00799355466502388,15.6524758424985,0.118273922162883,672,136
492,52,0.00296903458986601,78,51,130,67,138,128,0.00730839283659326,16.7630546142402,0.126665726023592,59,134
508,238,0.0135890429305406,218,471,116,493,140,528,0.0301471204509472,25.6124969497314,0.19353426902629,482,128
511,111,0.00633774691298322,132,744,133,762,148,270,0.0154161411396889,18.6815416922694,0.141162281943598,753,140.5
513,68,0.00388258369444017,94,777,118,784,136,126,0.00719419919852149,18.2482875908947,0.137888508364365,780.5,127
517,271,0.0154732379587248,276,626,105,653,139,918,0.0524148798749423,36.7695526217005,0.277839700792591,639.5,122
526,58,0.00331161550408132,58,158,134,164,146,72,0.00411097097058371,12.6491106406735,0.0955797627416054,161,140
536,31,0.00177000139011243,66,140,138,147,148,70,0.00399677733251194,12.2065556157337,0.0922357091171681,143.5,143
562,32,0.00182709820914832,52,319,142,325,152,60,0.00342580914215309,10.1980390271856,0.0770588682744045,322,147
563,86,0.0049103264370861,114,367,130,375,148,144,0.00822194194116742,18.1107702762748,0.136849394020471,371,139
568,88,0.00502452007515787,104,686,142,699,158,208,0.0118761383594641,16.5529453572468,0.125078089271592,692.5,150
573,48,0.00274064731372247,62,300,143,308,156,104,0.00593806917973203,14.3178210632764,0.108188945379629,304,149.5
577,30,0.00171290457107655,44,705,143,709,152,36,0.00205548548529186,9.48683298050514,0.0716848220562041,707,147.5
591,205,0.0117048479023564,194,512,145,528,166,336,0.0191845311960573,23.3238075793812,0.176240374362747,520,155.5
592,203,0.0115906542642846,168,547,139,561,166,378,0.0215825975955645,28.4604989415154,0.215054466168612,554,152.5
605,49,0.00279774413275836,64,79,145,87,155,80,0.00456774552287079,10.770329614269,0.0813832354245188,83,150
621,41,0.00234096958047128,72,900,148,908,161,104,0.00593806917973203,14.7648230602334,0.111566601408409,904,154.5
624,30,0.00171290457107655,62,437,149,442,159,50,0.00285484095179424,11.1803398874989,0.0844813729734881,439.5,154
627,48,0.00274064731372247,86,451,149,458,161,84,0.00479613279901433,12.6491106406735,0.0955797627416054,454.5,155
649,109,0.00622355327491145,128,140,151,154,168,238,0.0135890429305406,17.8885438199983,0.135170196757581,147,159.5
656,408,0.023295502166641,344,380,121,407,169,1296,0.0739974774705068,49.2442890089805,0.372101849178448,393.5,145
667,122,0.00696581192237795,118,709,139,723,159,280,0.0159871093300478,20.3960780543711,0.154117736548809,716,149
676,171,0.00976355605513631,228,589,139,611,162,506,0.0288909904321577,25.4950975679639,0.192647170686011,600,150.5
686,238,0.0135890429305406,240,612,151,631,176,475,0.0271209890420453,25.7099202643649,0.194270423334896,621.5,163.5
702,108,0.00616645645587557,132,179,147,194,164,255,0.0145596888541506,20.8086520466848,0.157235246183984,186.5,155.5
706,49,0.00279774413275836,82,159,157,173,165,112,0.0063948437320191,14.8660687473185,0.112331638494818,166,161
707,53,0.0030261314089019,64,241,158,248,172,98,0.00559548826551672,14.8660687473185,0.112331638494818,244.5,165
721,75,0.00428226142769136,90,930,156,942,172,192,0.0109625892548899,19.4164878389476,0.14671571414313,936,164
743,204,0.0116477510833205,238,478,143,500,167,528,0.0301471204509472,25.9422435421457,0.19602591464179,489,155
747,62,0.00354000278022486,50,97,163,105,173,80,0.00456774552287079,10.770329614269,0.0813832354245188,101,168
753,248,0.0141600111208994,270,801,154,823,180,572,0.0326593804885261,28.6356421265527,0.216377890759258,812,167
768,279,0.0159300125110119,278,637,150,663,177,702,0.0400819669631912,27.7848879788996,0.209949385080555,650,163.5
770,33,0.0018841950281842,56,74,166,82,175,72,0.00411097097058371,10.816653826392,0.0817332724610885,78,170.5
776,46,0.0026264536756507,74,676,165,684,176,88,0.00502452007515787,12.2065556157337,0.0922357091171681,680,170.5
782,31,0.00177000139011243,58,235,167,242,175,56,0.00319742186600955,10.6301458127346,0.0803239724556436,238.5,171
788,197,0.0112480733500693,218,759,153,780,178,525,0.0299758299938396,27.6586333718787,0.208995374500136,769.5,165.5
806,188,0.0107342019787464,176,689,168,707,188,360,0.0205548548529186,22.8035085019828,0.17230886773077,698,178
